The SAS System                                                                       22:03 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
p1                 752024       0.1020717       0.4122640     0.000612652       0.6675240
p2                 752024       0.0996306       0.2849726       0.0017073       0.2315477
p3                 752024       0.0942223       0.2094182       0.0032636       0.1591841
p4                 752024       0.1031617       0.1645298       0.0071276       0.1439071
p5                 752024       0.1006958       0.1242146       0.0127150       0.1332594
p6                 752024       0.0963335       0.1014905       0.0207191       0.1217200
p7                 752024       0.1101951       0.1516806       0.0139095       0.1489274
p8                 752024       0.1001439       0.2222587       0.0062203       0.1707784
p9                 752024       0.0954064       0.3171559       0.0021461       0.2328081
p10                752024       0.0981391       0.4979089     0.000334980       0.6042732
rmsa               752024         3572.17        13866.35               0         9320.00
dev                752024      -0.0964578       3.4026858      -1.2616779       2.9380272
devsq              752024       0.5411653       4.1789599    2.002909E-10       8.6320039
nonmover           752024               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   7

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          413732               0               0               0               0
female       413732               0               0               0               0
educ         413732      12.0000000               0      12.0000000      12.0000000
grade        413732       9.0000000               0       9.0000000       9.0000000
logwage2     413732       2.5776469       3.7129839       1.3513145       5.5510178
annhrs       413732         2055.64         4343.16       1.0000000         5148.00
owage        413732      16.6617630     201.9436869     0.000961538         5576.92
inschool     413732       0.0306167       1.0756508               0       1.0000000
age          413732      38.7411310      72.4910021      20.0000000      64.0000000
black        413732       0.1253599       2.0674666               0       1.0000000
hispanic     413732       0.0638643       1.5266620               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   8

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           97859               0               0               0               0
female        97859               0               0               0               0
educ          97859      13.0000000               0      13.0000000      13.0000000
grade         97859      10.0000000               0      10.0000000      10.0000000
logwage2      97859       2.7093957       3.8313986       1.3513145       5.5510178
annhrs        97859         2128.92         4336.03       1.0000000         5148.00
owage         97859      19.3270847     516.7372121       0.0125000        22500.00
inschool      97859       0.0639918       1.5647979               0       1.0000000
age           97859      39.7540735      70.9451382      22.0000000      66.0000000
black         97859       0.1086253       1.9895362               0       1.0000000
hispanic      97859       0.0630144       1.5536123               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   9

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          209413               0               0               0               0
female       209413               0               0               0               0
educ         209413      13.0000000               0      13.0000000      13.0000000
grade        209413      11.0000000               0      11.0000000      11.0000000
logwage2     209413       2.7252730       4.0966737       1.3513145       5.5510178
annhrs       209413         2096.24         4664.00       2.0000000         5148.00
owage        209413      20.4507576         1402.16       0.1302083        81000.00
inschool     209413       0.1415582       2.2582090               0       1.0000000
age          209413      39.3694437      73.9573089      22.0000000      66.0000000
black        209413       0.1167775       2.0804429               0       1.0000000
hispanic     209413       0.0602999       1.5420345               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  10

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           91586               0               0               0               0
female        91586               0               0               0               0
educ          91586      14.0000000               0      14.0000000      14.0000000
grade         91586      12.0000000               0      12.0000000      12.0000000
logwage2      91586       2.8004724       3.7972024       1.3513145       5.5510178
annhrs        91586         2149.75         4198.66       1.0000000         5148.00
owage         91586      20.6896388     220.8056369       0.0015686         6000.00
inschool      91586       0.1248970       2.1224796               0       1.0000000
age           91586      39.8930777      67.3184647      22.0000000      66.0000000
black         91586       0.0878074       1.8169654               0       1.0000000
hispanic      91586       0.0523702       1.4302091               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  11

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          218029               0               0               0               0
female       218029               0               0               0               0
educ         218029      16.0000000               0      16.0000000      16.0000000
grade        218029      13.0000000               0      13.0000000      13.0000000
logwage2     218029       3.0784668       4.4655943       1.3513145       5.5510178
annhrs       218029         2228.69         4296.93       1.0000000         5148.00
owage        218029      29.3353563     455.9126296       0.0721154        16000.00
inschool     218029       0.0825435       1.8109490               0       1.0000000
age          218029      40.6767165      70.4397970      24.0000000      68.0000000
black        218029       0.0582870       1.5417612               0       1.0000000
hispanic     218029       0.0308241       1.1374139               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  12

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          373141               0               0               0               0
female       373141       1.0000000               0       1.0000000       1.0000000
educ         373141      12.0000000               0      12.0000000      12.0000000
grade        373141       9.0000000               0       9.0000000       9.0000000
logwage2     373141       2.3071743       3.5164523       1.3513145       5.5510178
annhrs       373141         1699.88         4324.23       1.0000000         5148.00
owage        373141      12.7232130     197.1094271       0.0015385        11166.67
inschool     373141       0.0357340       1.1559160               0       1.0000000
age          373141      40.4434019      73.3833808      20.0000000      64.0000000
black        373141       0.1420373       2.1738140               0       1.0000000
hispanic     373141       0.0618777       1.5003201               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  13

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          112740               0               0               0               0
female       112740       1.0000000               0       1.0000000       1.0000000
educ         112740      13.0000000               0      13.0000000      13.0000000
grade        112740      10.0000000               0      10.0000000      10.0000000
logwage2     112740       2.4467093       3.5994428       1.3513145       5.5510178
annhrs       112740         1756.21         4371.90       1.0000000         5148.00
owage        112740      14.6820203     264.2142006       0.0384615         6625.00
inschool     112740       0.0697897       1.6134106               0       1.0000000
age          112740      40.7824623      69.8010375      22.0000000      66.0000000
black        112740       0.1348168       2.1626417               0       1.0000000
hispanic     112740       0.0623955       1.5315989               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  14

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          208837               0               0               0               0
female       208837       1.0000000               0       1.0000000       1.0000000
educ         208837      13.0000000               0      13.0000000      13.0000000
grade        208837      11.0000000               0      11.0000000      11.0000000
logwage2     208837       2.4624556       3.7230486       1.3513145       5.5510178
annhrs       208837         1736.58         4576.34       1.0000000         5148.00
owage        208837      14.8671680     213.4139324       0.0064103         7500.00
inschool     208837       0.1636451       2.3706879               0       1.0000000
age          208837      39.1096262      72.2437111      22.0000000      66.0000000
black        208837       0.1592927       2.3450274               0       1.0000000
hispanic     208837       0.0630949       1.5580186               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  15

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          112758               0               0               0               0
female       112758       1.0000000               0       1.0000000       1.0000000
educ         112758      14.0000000               0      14.0000000      14.0000000
grade        112758      12.0000000               0      12.0000000      12.0000000
logwage2     112758       2.5840552       3.5593399       1.3513145       5.5510178
annhrs       112758         1769.13         4269.25       1.0000000         5148.00
owage        112758      16.8166218     587.3452356       0.0017361        22000.00
inschool     112758       0.1381307       2.1854856               0       1.0000000
age          112758      39.4024032      64.3904952      22.0000000      66.0000000
black        112758       0.1113875       1.9927675               0       1.0000000
hispanic     112758       0.0505738       1.3879553               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  16

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm          214632               0               0               0               0
female       214632       1.0000000               0       1.0000000       1.0000000
educ         214632      16.0000000               0      16.0000000      16.0000000
grade        214632      13.0000000               0      13.0000000      13.0000000
logwage2     214632       2.8106444       3.8397581       1.3513145       5.5510178
annhrs       214632         1820.15         4626.21       1.0000000         5148.00
owage        214632      21.2023374     359.7114039       0.0019231        13541.67
inschool     214632       0.1070387       2.0097483               0       1.0000000
age          214632      39.1289279      67.3181355      24.0000000      68.0000000
black        214632       0.0894965       1.8556616               0       1.0000000
hispanic     214632       0.0358516       1.2085955               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  17

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           65612       1.0000000               0       1.0000000       1.0000000
female        65612       1.0000000               0       1.0000000       1.0000000
educ          65612      12.0000000               0      12.0000000      12.0000000
grade         65612       9.0000000               0       9.0000000       9.0000000
logwage2      65612       2.2834792       2.8109641       1.3513145       5.5510178
annhrs        65612         1668.19         3432.57       2.0000000         5148.00
owage         65612      12.9846103     139.4477039       0.0035556         3950.00
inschool      65612       0.0803911       1.2681446               0       1.0000000
age           65612      38.9067661      53.4719559      20.0000000      64.0000000
black         65612       0.1023324       1.4136036               0       1.0000000
hispanic      65612       0.4172120       2.2998362               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  18

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           15849       1.0000000               0       1.0000000       1.0000000
female        15849       1.0000000               0       1.0000000       1.0000000
educ          15849      13.0000000               0      13.0000000      13.0000000
grade         15849      10.0000000               0      10.0000000      10.0000000
logwage2      15849       2.4432795       2.8374773       1.3513145       5.5510178
annhrs        15849         1700.31         3339.71       1.0000000         5148.00
owage         15849      15.2972677     161.0118813       0.0400000         2229.17
inschool      15849       0.1454766       1.6402408               0       1.0000000
age           15849      39.3687792      50.5853383      22.0000000      66.0000000
black         15849       0.1041859       1.4212240               0       1.0000000
hispanic      15849       0.3956668       2.2748465               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  19

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           36139       1.0000000               0       1.0000000       1.0000000
female        36139       1.0000000               0       1.0000000       1.0000000
educ          36139      13.0000000               0      13.0000000      13.0000000
grade         36139      11.0000000               0      11.0000000      11.0000000
logwage2      36139       2.4667592       2.8709995       1.3513145       5.5510178
annhrs        36139         1685.81         3476.22       2.0000000         5148.00
owage         36139      16.5768354     728.8128362       0.0480769        22000.00
inschool      36139       0.2136086       1.9104866               0       1.0000000
age           36139      38.5433404      52.1161095      22.0000000      66.0000000
black         36139       0.1174605       1.5008186               0       1.0000000
hispanic      36139       0.3353493       2.2006994               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  20

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           22511       1.0000000               0       1.0000000       1.0000000
female        22511       1.0000000               0       1.0000000       1.0000000
educ          22511      14.0000000               0      14.0000000      14.0000000
grade         22511      12.0000000               0      12.0000000      12.0000000
logwage2      22511       2.5880262       2.9345018       1.3513145       5.5510178
annhrs        22511         1721.44         3389.81       1.0000000         5148.00
owage         22511      17.3758658     146.7861565       0.0333333         1692.71
inschool      22511       0.1959384       1.8609814               0       1.0000000
age           22511      39.5066973      48.7444655      22.0000000      66.0000000
black         22511       0.1320227       1.5871432               0       1.0000000
hispanic      22511       0.2548260       2.0430939               0       1.0000000
-----------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019  21

The MEANS Procedure

Variable          N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------
imm           52343       1.0000000               0       1.0000000       1.0000000
female        52343       1.0000000               0       1.0000000       1.0000000
educ          52343      16.0000000               0      16.0000000      16.0000000
grade         52343      13.0000000               0      13.0000000      13.0000000
logwage2      52343       2.7886399       3.0763723       1.3513145       5.5510178
annhrs        52343         1782.91         3428.77       1.0000000         5148.00
owage         52343      21.4366903     174.4434837       0.0016667         2500.00
inschool      52343       0.1346158       1.6061502               0       1.0000000
age           52343      39.6474901      48.9273363      24.0000000      68.0000000
black         52343       0.0787272       1.2673313               0       1.0000000
hispanic      52343       0.1518328       1.6887179               0       1.0000000
-----------------------------------------------------------------------------------
