The SAS System                                                                     14:43 Thursday, December 11, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
msa                670202         5171.67        11154.53      40.0000000         9999.00
wagesal            670202        14836.76        98608.84               0       197927.00
selfinc            670202         1373.78        40786.27       -19998.00       215195.00
educ               670202      11.2972975      21.6360824               0      20.0000000
eclass             670202       2.2393742       5.4394405       1.0000000       4.0000000
dropout            670202       0.3842426       2.2608096               0       1.0000000
somecoll           670202       0.2045703       1.8749020               0       1.0000000
collplus           670202       0.2095233       1.8915468               0       1.0000000
advanced           670202       0.0884018       1.3194372               0       1.0000000
exp                670202      18.9019147      55.3619446       1.0000000      45.0000000
xclass             670202       4.1869742      11.0400547       1.0000000       9.0000000
annhrs             670202         1367.38         4816.80               0         5148.00
wage               475359      11.9516825      62.7519728       2.5125000     167.5000000
owage              475359      13.6983637         2171.68     0.000194250       195516.00
wage2              457870      11.7704509      61.2574750       2.5125000     167.5000000
logwage2           457870       2.1829466       3.2326568       0.9212783       5.1209834
female             670202       0.4911339       2.3235826               0       1.0000000
c                  670202       1.0000000               0       1.0000000       1.0000000
inschool           670202       0.1446449       1.6348624               0       1.0000000
exp2               670202       4.9915855      24.7615427       0.0100000      20.2500000
exp3               670202      15.5537377     103.1509902     0.000999999      91.1250000
ic                 670202      14.6439108      60.1002874       1.0000000      38.0000000
yrsinus            670202      14.7954816      51.3228282       1.5000000      45.0000000
pre_exp            670202       4.1064330      53.3769325     -27.5000000      43.5000000
pre_exp1           670202       0.2005091       1.8609307               0       1.0000000
yrsinus2           670202     340.8356551         2103.29       2.2500000         2025.00
euro               670202       0.2246130       1.9396933               0       1.0000000
hi_asian           670202       0.1100116       1.4543462               0       1.0000000
mid_asian          670202       0.1025190       1.4098446               0       1.0000000
mex                670202       0.2305294       1.9575622               0       1.0000000
euro_ed            670202       2.8682064      26.0939373               0      20.0000000
euro_coll          670202       0.0576940       1.0837218               0       1.0000000
hi_asian_ed        670202       1.5692421      21.4646060               0      20.0000000
hi_asian_coll      670202       0.0526557       1.0380855               0       1.0000000
mid_asian_ed       670202       1.3068647      19.0290814               0      20.0000000
mid_asian_coll     670202       0.0349332       0.8534035               0       1.0000000
mex_ed             670202       1.7817349      18.0263180               0      20.0000000
mex_coll           670202       0.0067780       0.3813558               0       1.0000000
euro_yrs           670202       5.0492663      52.3795231               0      45.0000000
hi_asian_yrs       670202       1.2492710      21.1779469               0      45.0000000
mid_asian_yrs      670202       1.2111933      21.0809184               0      45.0000000
mex_yrs            670202       2.9828037      32.9478114               0      45.0000000
euro_yrs2          670202     152.4970082         1881.12               0         2025.00
hi_asian_yrs2      670202      22.3219956     534.6956252               0         2025.00
mid_asian_yrs2     670202      22.0385031     564.0461541               0         2025.00
mex_yrs2           670202      59.1476127     944.2362564               0         2025.00
-----------------------------------------------------------------------------------------
The SAS System                                                                     14:43 Thursday, December 11, 2008   6

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed             670202      11.2972975      21.6360824               0      20.0000000
imm_coll           670202       0.2095233       1.8915468               0       1.0000000
asian              670202       0.2339931       1.9677696               0       1.0000000
black              670202       0.0657660       1.1520864               0       1.0000000
