The SAS System                                                                          17:16 Friday, March 22, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
advanced           295980       0.1105514       0.3135763               0       1.0000000
exp                295980      19.0181870      12.1606016       1.0000000      45.0000000
xclass             295980       4.2097743       2.4266983       1.0000000       9.0000000
annhrs             295980         1737.38     739.4003299       1.0000000         5148.00
female             295980       0.4435232       0.4968010               0       1.0000000
owage              295980       7.5869582      18.5311360       0.0019231         4251.25
logwage2           295980       1.7388427       0.6530138       0.7770287       4.9767337
ic                 295980      16.3655652      12.7401836       1.0000000      38.0000000
euro               295980       0.3689371       0.4825177               0       1.0000000
hi_asian           295980       0.0746875       0.2628868               0       1.0000000
mid_asian          295980       0.0865363       0.2811548               0       1.0000000
mex                295980       0.1753227       0.3802435               0       1.0000000
yrsinus            295980      15.2796659      11.4679772       2.5000000      40.0000000
yrsinus2           295980     364.9822463     475.7251480       6.2500000         1600.00
pre_exp            295980       3.7385212      12.1581046     -33.0000000      42.5000000
pre_exp1           295980       0.2226705       0.4160395               0       1.0000000
euro_ed            295980       4.4801203       6.3098042               0      20.0000000
hi_asian_ed        295980       1.0899385       3.9711719               0      20.0000000
mid_asian_ed       295980       1.1413609       3.9267745               0      20.0000000
mex_ed             295980       1.3191094       3.3656121               0      20.0000000
euro_coll          295980       0.0728698       0.2599231               0       1.0000000
hi_asian_coll      295980       0.0348976       0.1835208               0       1.0000000
mid_asian_coll     295980       0.0327488       0.1779788               0       1.0000000
mex_coll           295980       0.0049632       0.0702749               0       1.0000000
euro_yrs           295980       7.8019782      12.5342020               0      40.0000000
hi_asian_yrs       295980       0.6878860       3.2607512               0      40.0000000
mid_asian_yrs      295980       0.8772518       3.9527691               0      40.0000000
mex_yrs            295980       2.1062048       6.1656077               0      40.0000000
euro_yrs2          295980     217.9765516     438.9803758               0         1600.00
hi_asian_yrs2      295980      11.1056499      79.9206248               0         1600.00
mid_asian_yrs2     295980      16.3939016     116.9268811               0         1600.00
mex_yrs2           295980      42.4506884     182.7820355               0         1600.00
imm_ed             295980      11.4914623       4.4666703               0      20.0000000
imm_coll           295980       0.1958747       0.3968732               0       1.0000000
inschool           295980       0.0866241       0.2812839               0       1.0000000
exp2               295980       5.0957104       5.3760876       0.0100000      20.2500000
exp3               295980      16.0078921      22.1012719       0.0010000      91.1250000
asian              295980       0.1651868       0.3713497               0       1.0000000
black              295980       0.0614737       0.2401977               0       1.0000000
asian_ed           295980       2.2553551       5.3610715               0      20.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                          17:16 Friday, March 22, 2019   6

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
black_ed           295980       0.7391310       3.0087249               0      20.0000000
asian_coll         295980       0.0669302       0.2499015               0       1.0000000
black_coll         295980       0.0086323       0.0925087               0       1.0000000
hisp_ed            295980       3.1698561       5.1462414               0      20.0000000
hisp_coll          295980       0.0284006       0.1661146               0       1.0000000
p1                 295980       0.1139457       0.0922832     0.000655525       0.6358307
p2                 295980       0.1086645       0.0644569       0.0018089       0.2315477
p3                 295980       0.0995312       0.0467799       0.0034359       0.1591841
p4                 295980       0.1055102       0.0358291       0.0074608       0.1439071
p5                 295980       0.1002601       0.0262553       0.0132354       0.1332594
p6                 295980       0.0935753       0.0215889       0.0234864       0.1217200
p7                 295980       0.1049491       0.0339448       0.0166862       0.1489274
p8                 295980       0.0942267       0.0500084       0.0077157       0.1707784
p9                 295980       0.0893616       0.0701126       0.0027706       0.2328081
p10                295980       0.0899757       0.1057526     0.000456847       0.5967911
c                  295980       1.0000000               0       1.0000000       1.0000000
rmsa               295980         4091.43         2573.40               0         9320.00
dev                295980      -0.0335588       0.6530138      -0.9953728       3.2043322
devsq              295980       0.4275518       0.7693373    2.746506E-11      10.2677451
nonmover           295980               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                          17:16 Friday, March 22, 2019   7

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      -1 |3908488 | 160126 |4068614
         |  89.55 |   3.67 |  93.22
         |  96.06 |   3.94 |
         |  95.25 |  61.32 |
---------+--------+--------+
       1 |    648 |  51244 |  51892
         |   0.01 |   1.17 |   1.19
         |   1.25 |  98.75 |
         |   0.02 |  19.62 |
---------+--------+--------+
       2 |  12406 |   1697 |  14103
         |   0.28 |   0.04 |   0.32
         |  87.97 |  12.03 |
         |   0.30 |   0.65 |
---------+--------+--------+
       3 |   5761 |     44 |   5805
         |   0.13 |   0.00 |   0.13
         |  99.24 |   0.76 |
         |   0.14 |   0.02 |
---------+--------+--------+
       4 |   3812 |     41 |   3853
         |   0.09 |   0.00 |   0.09
         |  98.94 |   1.06 |
         |   0.09 |   0.02 |
---------+--------+--------+
       5 |     31 |   2591 |   2622
         |   0.00 |   0.06 |   0.06
         |   1.18 |  98.82 |
         |   0.00 |   0.99 |
---------+--------+--------+
       6 |   7619 |     38 |   7657
         |   0.17 |   0.00 |   0.18
         |  99.50 |   0.50 |
         |   0.19 |   0.01 |
---------+--------+--------+
       7 |    239 |  15454 |  15693
         |   0.01 |   0.35 |   0.36
         |   1.52 |  98.48 |
         |   0.01 |   5.92 |
---------+--------+--------+
Total     4103468   261126  4364594
            94.02     5.98   100.00
(Continued)
The SAS System                                                                          17:16 Friday, March 22, 2019   8

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
       8 |     86 |   3883 |   3969
         |   0.00 |   0.09 |   0.09
         |   2.17 |  97.83 |
         |   0.00 |   1.49 |
---------+--------+--------+
       9 |   5569 |     41 |   5610
         |   0.13 |   0.00 |   0.13
         |  99.27 |   0.73 |
         |   0.14 |   0.02 |
---------+--------+--------+
      10 |   5274 |    131 |   5405
         |   0.12 |   0.00 |   0.12
         |  97.58 |   2.42 |
         |   0.13 |   0.05 |
---------+--------+--------+
