The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
p8                3225492       0.1030863       0.3232860       0.0038321       0.1707784
p9                3225492       0.1046204       0.4759052       0.0016610       0.2328081
p10               3225492       0.1167526       0.7195857     0.000336084       0.5411772
rmsa              3225492         2852.45        18598.59               0         9320.00
dev               2330933       0.0141654       4.2242547      -1.3346969       2.8650082
devsq             2330933       0.4420994       4.5854355    1.548951E-11       8.2082717
nonmover          3225492       0.6160475       3.0774208               0       1.0000000
emp               3225492       0.8199950       2.4310223               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                       21:11 Wednesday, March 27, 2019   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state              661098      22.1371920      74.7827700       1.0000000      56.0000000
msa                661098         5157.80        11085.83      40.0000000         9999.00
age                661098      38.1082259      54.9642854      18.0000000      68.0000000
pob                661098     274.2935223     475.8821029     100.0000000     555.0000000
english            661098       1.6405159       5.6205471               0       4.0000000
weeks              661098      33.3766183     102.0807411               0      52.0000000
wagesal            661098        14992.59        98883.29               0       197927.00
selfinc            661098         1391.84        40984.43       -19998.00       215195.00
hispanic           661098       0.4209883       2.2909823               0       1.0000000
imm                661098       1.0000000               0       1.0000000       1.0000000
educ               661098      11.3055372      21.6157864               0      20.0000000
eclass             661098       2.2421759       5.4348785       1.0000000       4.0000000
dropout            661098       0.3835195       2.2562980               0       1.0000000
somecoll           661098       0.2044523       1.8714239               0       1.0000000
collplus           661098       0.2106215       1.8920695               0       1.0000000
advanced           661098       0.0888509       1.3202883               0       1.0000000
exp                661098      19.0073936      55.2233273       1.0000000      45.0000000
xclass             661098       4.2076024      11.0152995       1.0000000       9.0000000
annhrs             661098         1376.93         4800.25               0         5148.00
wage               469779      11.9838943      62.4920251       2.5125000     167.5000000
owage              469779      13.1886091         1553.25     0.000194250       195516.00
wage2              452447      11.8013225      60.9850901       2.5125000     167.5000000
logwage2           452447       2.1875363       3.2206705       0.9212783       5.1209834
female             661098       0.4957880       2.3200517               0       1.0000000
c                  661098       1.0000000               0       1.0000000       1.0000000
inschool           661098       0.1418881       1.6191536               0       1.0000000
exp2               661098       5.0291211      24.7612917       0.0100000      20.2500000
